Symbol,Dataset
NUE,http://www.nucor.com
CAH,http://www.cardinalhealth.com
PKI,http://www.perkinelmer.com
ALNY,http://www.alnylam.com
IAC,http://www.iac.com
STE,http://www.steris.com
AES,http://www.aes.com
KEP,http://home.kepco.co.kr
BAP,http://www.grupocredicorp.com
MGM,http://www.mgmresorts.com
TXG,http://www.10xgenomics.com
CVAC,http://www.curevac.com
DRI,http://www.darden.com
CZR,http://www.caesars.com
AVTR,http://www.avantorsciences.com
ESS,http://www.essexapartmenthomes.com
RF,http://www.regions.com
WAT,http://www.waters.com
HPE,http://www.hpe.com
WDC,http://www.westerndigital.com
HZNP,http://www.horizontherapeutics.com
CFG,http://www.citizensbank.com
PLUG,http://www.plugpower.com
OSH,http://www.oakstreethealth.com
KMX,http://www.carmax.com
LDOS,http://www.leidos.com
LNG,http://www.cheniere.com
CE,http://www.celanese.com
NTAP,http://www.netapp.com
MGP,http://www.mgmgrowthproperties.com
IEX,http://www.idexcorp.com
FICO,http://www.fico.com
VIV,http://www.telefonica.com.br
CGNX,http://www.cognex.com
POOL,http://www.poolcorp.com
BXP,http://www.bostonproperties.com
TW,http://www.tradeweb.com
MASI,http://www.masimo.com
DRE,http://www.dukerealty.com
JBHT,http://www.jbhunt.com
CPB,http://www.campbellsoupcompany.com
FMC,http://www.fmc.com
EXR,http://www.extraspace.com
AVLR,http://www.avalara.com
ACGL,http://www.archcapgroup.com
GPC,http://www.genpt.com
SUI,http://www.suncommunities.com
ELAN,http://www.elanco.com
MAS,http://masco.com
TDY,http://www.teledyne.com
GNRC,http://www.generac.com
ARGX,http://www.argenx.com
ABMD,http://www.abiomed.com
WIX,http://www.wix.com
CINF,http://www.cinfin.com
GDDY,http://www.godaddy.com
IT,http://www.gartner.com
MAA,http://www.maac.com
AGR,http://www.avangrid.com
LBTYA,http://www.libertyglobal.com
PENN,http://www.pngaming.com
AI,http://www.C3.ai
SRPT,http://www.sarepta.com
IMO,http://www.imperialoil.ca
VICI,http://www.viciproperties.com
BKI,http://www.blackknightinc.com
J,http://www.jacobs.com
PTC,http://www.ptc.com
BPY,http://bpy.brookfield.com
WAB,http://www.wabteccorp.com
RUN,http://www.sunrun.com
MKL,http://www.markel.com
NTCO,http://natu.infoinvest.com.br
EMN,http://www.eastman.com
WPP,http://www.wpp.com
OMC,http://www.omnicomgroup.com
ESTC,http://www.elastic.co
PFG,http://www.principal.com
ALLY,http://www.ally.com
DISCA,http://corporate.discovery.com
SJM,http://www.jmsmucker.com
RJF,http://www.raymondjames.com
PBA,http://www.pembina.com
IQ,http://www.iqiyi.com
UAL,http://www.united.com
ON,http://www.onsemi.com
PKG,http://www.packagingcorp.com
